;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 1991;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
220700 OEIRAS;1,34;;
220720 PADRE MARCOS;1,94;;
220730 PAES LANDIM;0,1;;
220740 PALMEIRA DO PIAUI;1,03;;
220750 PALMEIRAIS;3,85;;
220760 PARNAGUA;0,92;;
220770 PARNAIBA;5,09;;
220780 PAULISTANA;1,22;;
220790 PEDRO II;3,03;;
220800 PICOS;4,01;;
220810 PIMENTEIRAS;0,23;;
220820 PIO IX;1,91;;
220830 PIRACURUCA;6,68;;
220840 PIRIPIRI;3,65;;
220850 PORTO;0,4;;
220870 REDENCAO DO GURGUEIA;1;;
220880 REGENERACAO;4,28;;
220890 RIBEIRO GONCALVES;1,62;;
220900 RIO GRANDE DO PIAUI;1,74;;
220910 SANTA CRUZ DO PIAUI;1,07;;
220920 SANTA FILOMENA;5,44;;
220930 SANTA LUZ;1,21;;
220940 SANTO ANTONIO DE LISBOA;1,06;;
220950 SANTO INACIO DO PIAUI;4,58;;
220960 SAO FELIX DO PIAUI;0,97;;
220970 SAO FRANCISCO DO PIAUI;1,16;;
220980 SAO GONCALO DO PIAUI;0,23;;
220985 SAO JOAO DA CANABRAVA;1,25;;
220990 SAO JOAO DA SERRA;3,02;;
221000 SAO JOAO DO PIAUI;1,97;;
221010 SAO JOSE DO PEIXE;3,23;;
221020 SAO JOSE DO PIAUI;1,43;;
221030 SAO JULIAO;1,9;;
221040 SAO MIGUEL DO TAPUIO;7,16;;
221050 SAO PEDRO DO PIAUI;1,38;;
221060 SAO RAIMUNDO NONATO;1,95;;
221070 SIMOES;0,74;;
221080 SIMPLICIO MENDES;2,04;;
221090 SOCORRO DO PIAUI;1,08;;
221100 TERESINA;6,7;;
221110 UNIAO;3,1;;
221120 URUCUI;3,17;;
221130 VALENCA DO PIAUI;1,37;;
221140 VARZEA GRANDE;0,97;;
230010 ABAIARA;2,15;;
230015 ACARAPE;1,88;;
230020 ACARAU;3,36;;
230030 ACOPIARA;1,48;;
230040 AIUABA;0,4;;
230050 ALCANTARAS;2,98;;
230060 ALTANEIRA;1,42;;
230070 ALTO SANTO;2,27;;
230075 AMONTADA;4,75;;
230080 ANTONINA DO NORTE;0,62;;
230090 APUIARES;1,68;;
230100 AQUIRAZ;1,45;;
230110 ARACATI;5,41;;
230120 ARACOIABA;4,54;;
230130 ARARIPE;3,24;;
230140 ARATUBA;0,55;;
230150 ARNEIROZ;4,15;;
230160 ASSARE;1,54;;
230170 AURORA;3,88;;
230180 BAIXIO;0,23;;
230185 BANABUIU;3,66;;
230190 BARBALHA;3,22;;
230195 BARREIRA;1,29;;
230200 BARRO;2,1;;
230205 BARROQUINHA;1,12;;
230210 BATURITE;3,92;;
230220 BEBERIBE;0,95;;
230230 BELA CRUZ;3,25;;
230240 BOA VIAGEM;1,64;;
230250 BREJO SANTO;3,77;;
230260 CAMOCIM;3,41;;
230270 CAMPOS SALES;3,33;;
230280 CANINDE;4,84;;
230290 CAPISTRANO;3,91;;
230300 CARIDADE;5,36;;
230310 CARIRE;2,14;;
230320 CARIRIACU;2,32;;
230330 CARIUS;2,22;;
230340 CARNAUBAL;0,74;;
230350 CASCAVEL;3,8;;
230360 CATARINA;7,32;;
230370 CAUCAIA;6,34;;
230380 CEDRO;2,88;;
230390 CHAVAL;3,16;;
230395 CHOROZINHO;2,12;;
230400 COREAU;0,22;;
230410 CRATEUS;4,47;;
230420 CRATO;5,78;;
230423 CROATA;0,29;;
230425 CRUZ;1,48;;
230427 ERERE;1,77;;
230428 EUSEBIO;3,15;;
230430 FARIAS BRITO;1,65;;
230435 FORQUILHA;2,03;;
230440 FORTALEZA;5,99;;
230450 FRECHEIRINHA;0,24;;
230460 GENERAL SAMPAIO;0,92;;
230465 GRACA;1,62;;
230470 GRANJA;2,54;;
230480 GRANJEIRO;2,11;;
230490 GROAIRAS;1,01;;
230495 GUAIUBA;2,74;;
230500 GUARACIABA DO NORTE;1,99;;
230510 GUARAMIRANGA;3,13;;
230520 HIDROLANDIA;3,93;;
230523 HORIZONTE;2,09;;
230526 IBARETAMA;1,27;;
230530 IBIAPINA;4,64;;
230533 IBICUITINGA;2,09;;
230535 ICAPUI;5,43;;
230540 ICO;3,63;;
230550 IGUATU;1,78;;
230560 INDEPENDENCIA;3,98;;
230565 IPAPORANGA;2,43;;
230570 IPAUMIRIM;1,07;;
230580 IPU;3,19;;
230590 IPUEIRAS;2,32;;
230600 IRACEMA;7,02;;
230610 IRAUCUBA;1,95;;
230620 ITAICABA;6,65;;
230630 ITAPAGE;2,47;;
230640 ITAPIPOCA;3,71;;
230650 ITAPIUNA;1,06;;
230655 ITAREMA;0,75;;
230660 ITATIRA;2,84;;
230670 JAGUARETAMA;0,97;;
230680 JAGUARIBARA;1,17;;
230690 JAGUARIBE;2,24;;
230700 JAGUARUANA;1,65;;
230710 JARDIM;1,8;;
230720 JATI;0,24;;
230730 JUAZEIRO DO NORTE;5,13;;
230740 JUCAS;1,29;;
230750 LAVRAS DA MANGABEIRA;1,16;;
230760 LIMOEIRO DO NORTE;2,52;;
